Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType
2024-03-23,11.9,19.8,0.0,6.8,S,33.0,12:13,14.1,82,6,NA,0,19.3,56,6.0,S,15,Windy
2024-03-24,12.2,22.3,0.0,7.8,SSW,22.0,15:52,14.6,59,7,WNW,6,21.2,44,1.0,S,9,Sunny
2024-03-25,14.3,22.6,0.0,10.9,S,26.0,12:42,15.4,67,1,NNW,13,21.1,53,1.0,SSW,11,Sunny
2024-03-29,10.6,28.0,0.0,10.6,N,31.0,11:57,12.9,83,0,NNE,6,25.9,42,1.0,SW,7,Sunny
2024-03-30,12.9,22.4,0.0,9.9,SSW,24.0,13:03,15.0,91,7,NNE,7,21.6,58,1.0,SSW,13,Sunny
2024-04-1,14.0,28.2,0.0,2.3,N,43.0,10:59,16.5,69,7,NNE,9,22.2,71,7.0,NNE,15,Cloudy
2024-04-3,12.5,16.6,2.2,1.0,SSW,24.0,09:43,14.0,77,5,SW,6,15.2,90,7.0,SW,2,Rainy
2024-04-5,11.5,20.6,0.0,7.5,SSW,31.0,15:19,13.9,70,7,N,6,19.6,63,5.0,SW,13,Windy
2024-04-6,13.9,22.1,0.0,0.5,SE,20.0,16:25,15.8,91,7,NA,0,21.9,46,7.0,E,6,Cloudy
2024-04-10,11.7,17.8,2.4,0.2,SSW,33.0,21:22,14.6,70,7,WSW,9,16.8,67,7.0,S,13,Rainy
2024-04-18,11.4,16.9,4.0,1.8,NW,30.0,16:51,13.4,77,7,W,9,16.5,56,7.0,W,9,Rainy
2024-04-22,6.9,24.3,0.0,9.9,N,31.0,16:00,10.4,84,1,N,9,24.0,33,1.0,N,15,Sunny
2024-04-23,10.3,25.3,0.0,8.2,N,41.0,11:19,19.2,40,3,NNW,13,24.6,32,8.0,NNW,22,Sunny
2024-04-25,11.0,15.9,0.2,1.2,S,33.0,15:17,13.4,69,7,W,11,15.5,60,7.0,S,15,Windy
2024-04-26,12.3,15.3,0.0,0.2,WSW,28.0,12:54,13.5,63,7,SW,7,14.7,58,7.0,S,9,Cloudy
2024-04-28,7.9,22.6,0.0,8.3,N,35.0,13:18,10.4,78,7,NNE,7,22.0,38,3.0,N,13,Sunny
2024-04-29,10.4,16.4,0.0,0.0,S,28.0,14:17,15.6,65,7,WSW,6,15.2,64,7.0,S,13,Cloudy
2024-04-30,10.5,15.3,0.0,2.8,SSE,30.0,11:00,12.5,73,7,SE,9,14.9,59,7.0,SE,13,Cloudy
2024-05-9,9.7,16.6,0.0,0.3,NW,17.0,22:09,12.7,100,7,NA,0,16.0,81,7.0,SSW,7,Cloudy
2024-05-10,12.7,17.1,14.0,0.1,N,13.0,05:22,14.0,100,8,NA,0,16.1,89,8.0,SSW,6,Rainy
2024-05-17,7.6,15.8,0.0,1.4,SW,35.0,14:55,12.2,83,5,NNW,9,12.7,90,7.0,SSW,17,Windy
2024-05-19,6.2,15.4,0.0,0.2,NW,26.0,03:52,11.4,74,7,NW,6,14.1,95,7.0,WNW,2,Cloudy
2024-05-20,10.2,14.7,3.2,0.7,SSW,24.0,00:05,11.0,100,7,SW,7,13.9,76,7.0,SSW,11,Rainy
2024-05-21,10.3,14.7,0.8,0.4,SSW,19.0,12:56,11.6,88,8,SSW,4,13.6,66,6.0,S,9,Cloudy
2024-05-24,5.9,13.7,0.0,0.0,SSW,15.0,15:46,9.0,83,7,NE,6,13.6,82,7.0,SSW,2,Cloudy
2024-05-30,12.9,20.4,0.0,0.2,N,65.0,09:48,17.4,60,7,N,20,20.0,52,8.0,N,24,Cloudy
2024-06-2,5.4,13.9,0.2,0.9,S,35.0,11:02,8.9,97,7,NA,0,13.3,59,6.0,S,9,Windy
2024-06-3,8.2,14.6,0.8,1.6,S,24.0,13:15,9.6,89,7,SW,6,13.4,64,5.0,SSW,11,Cloudy
2024-06-4,7.2,13.8,0.0,0.2,NW,20.0,02:04,11.1,65,7,NNW,13,12.8,60,7.0,S,6,Cloudy
2024-06-5,8.6,14.7,0.0,2.1,S,24.0,15:18,10.5,84,7,NNE,2,14.4,63,7.0,SSW,7,Cloudy
2024-06-6,8.9,17.1,0.0,4.5,SSE,31.0,12:56,11.4,84,7,S,2,16.3,60,3.0,SSE,11,Windy
2024-06-8,7.8,14.3,0.2,0.1,S,17.0,12:13,11.2,100,7,SE,2,12.9,95,7.0,SSW,9,Cloudy
2024-06-9,11.1,14.6,0.4,0.1,NW,19.0,04:31,11.8,99,8,WSW,6,13.7,67,7.0,SSW,6,Cloudy
2024-06-11,7.2,16.8,2.8,2.6,N,61.0,07:15,12.2,79,8,N,28,15.7,64,4.0,NNW,15,Rainy
2024-06-13,8.3,10.1,0.8,0.0,W,17.0,09:39,9.3,86,7,WSW,7,9.6,99,7.0,NA,0,Cloudy
2024-06-15,4.1,14.4,0.0,4.1,ESE,33.0,11:48,6.3,100,7,NA,0,13.3,65,6.0,S,11,Windy
2024-06-20,3.1,13.9,0.0,0.7,SSE,17.0,20:49,7.1,73,7,NNE,7,11.3,58,7.0,SSW,7,Cloudy
2024-06-21,4.0,13.2,0.0,1.1,SSW,24.0,12:59,5.9,88,7,NA,0,12.7,62,7.0,SSW,13,Cloudy
2024-06-24,2.9,13.5,0.0,3.0,N,39.0,12:28,6.7,81,7,NNE,9,12.5,57,6.0,NNE,15,Windy
2024-06-25,6.7,16.8,0.0,6.1,N,43.0,01:55,10.3,75,7,N,9,16.5,45,4.0,N,19,Windy
2024-06-29,12.0,12.9,0.0,0.0,N,50.0,00:32,12.8,51,7,N,19,10.6,89,7.0,NW,7,Cloudy
2024-06-30,7.0,12.2,7.0,4.0,SSE,35.0,12:45,7.6,87,6,SW,6,10.7,77,7.0,SSW,11,Windy
2024-07-5,2.2,11.4,0.0,0.0,SSE,17.0,19:10,8.8,96,7,NA,0,11.0,87,8.0,SW,7,Cloudy
2024-07-8,3.5,16.6,0.0,0.3,NNE,41.0,13:15,9.4,77,7,NNE,4,15.5,65,7.0,NNE,22,Windy
2024-07-9,9.3,13.1,8.4,0.0,SSW,30.0,17:37,11.4,100,8,W,6,12.3,100,8.0,SW,9,Rainy
2024-07-10,10.2,14.3,11.8,3.8,NNE,35.0,23:38,10.5,80,7,WNW,9,12.9,63,1.0,N,9,Windy
2024-07-11,9.7,13.6,0.0,0.3,N,52.0,16:23,12.1,69,7,NNE,17,13.4,62,7.0,N,28,Windy
2024-07-16,9.0,13.6,19.6,0.0,S,37.0,02:02,12.1,100,8,SSW,9,13.0,88,8.0,SSW,9,Rainy
2024-07-17,8.6,14.0,0.2,1.2,SSW,33.0,18:57,10.3,100,8,SW,4,12.3,85,7.0,SW,13,Windy
2024-07-19,7.7,12.1,0.0,0.1,N,57.0,20:16,9.5,66,7,N,20,11.2,67,8.0,N,28,Windy
2024-07-20,9.5,12.2,0.0,0.1,N,46.0,00:09,10.8,60,7,NW,20,11.7,85,7.0,W,15,Windy
2024-07-21,7.9,16.6,4.0,4.6,NW,31.0,14:44,10.0,76,5,N,11,14.3,62,7.0,N,17,Windy
2024-07-23,11.1,17.7,0.0,7.1,NNW,50.0,15:19,12.7,57,7,N,17,17.0,46,7.0,N,19,Windy
2024-07-24,11.0,15.8,0.2,1.1,N,56.0,15:45,11.6,56,7,N,19,15.7,48,8.0,N,22,Windy
2024-07-25,11.5,13.7,0.0,1.9,N,54.0,02:09,12.7,64,8,N,15,12.5,77,7.0,N,9,Windy
2024-07-27,9.7,11.8,0.0,1.7,W,52.0,17:48,10.2,74,7,N,19,9.1,86,7.0,SW,6,Windy
2024-07-28,5.4,11.7,6.2,4.1,SSW,41.0,14:24,7.1,82,6,WSW,11,11.2,57,7.0,SSW,13,Windy
2024-07-29,7.0,11.7,2.8,0.3,W,17.0,01:10,8.1,100,8,WSW,4,11.4,93,7.0,NA,0,Rainy
